,항공사,편명,목적지,계획,예상,출발,구분,현황,비정상원인,날짜
0,  아시아나항공,OZ128,TOY(도야마),9:00,9:00,:,여객,취소,기상-시정,20100101
1,  대한항공,KE831,SHE(심양),10:30,10:51,:,여객,취소,기상-시정,20100101
2,  대한항공,KE831,SHE(심양),10:30,10:51,:,여객,취소,기상-시정,20100101
3,  중국남방항공,CZ682,SHE(심양),12:45,12:52,12:52,여객,회항,기상-시정,20100101
0,  아시아나항공,OZ576,UUS(사할린),9:10,9:10,:,여객,취소,기상-눈,20100102
0,  대한항공,KE851,PEK(베이징),9:15,9:15,10:20,여객,지연,기상-눈,20100103
1,  아시아나항공,OZ333,PEK(베이징),9:50,12:00,12:31,여객,지연,기상-눈,20100103
2,  대한항공,KE805,TSN(천진),10:35,10:35,:,여객,취소,기상-눈,20100103
3,  아시아나항공,OZ327,TSN(천진),10:50,13:00,:,여객,취소,기상-눈,20100103
4,  대한항공,KE855,PEK(베이징),11:40,15:20,:,여객,취소,기상-눈,20100103
5,  아시아나항공,OZ335,PEK(베이징),13:20,16:00,15:57,여객,지연,기상-눈,20100103
6,  아시아나항공,OZ337,PEK(베이징),15:15,17:15,18:00,여객,지연,기상-눈,20100103
0,  중국국제항공,CA134,TAO(청도),8:45,:,:,여객,취소,기상-눈,20100104
1,  아시아나항공,OZ309,WEH(위해),9:00,10:30,:,여객,취소,기상-눈,20100104
2,  대한항공,KE839,WEH(위해),9:30,9:30,:,여객,취소,기상-눈,20100104
3,  대한항공,KE845,TAO(청도),9:45,9:45,:,여객,취소,기상-눈,20100104
4,  아시아나항공,OZ301,DLC(대련),10:30,11:50,:,여객,취소,기상-눈,20100104
5,  대한항공,KE831,SHE(심양),10:30,11:50,:,여객,취소,기상-눈,20100104
6,  아시아나항공,OZ363,PVG(푸동),10:50,11:50,:,여객,취소,기상-눈,20100104
7,  대한항공,KE855,PEK(베이징),11:40,11:40,:,여객,취소,기상-눈,20100104
8,  대한항공,KE869,DLC(대련),13:00,:,:,여객,취소,기상-눈,20100104
9,  대한항공,KE951,DXB(두바이),13:20,13:20,:,여객,취소,기상-눈,20100104
10,  대한항공,KE867,ULN(부얀트 우카),13:20,15:20,:,여객,취소,기상-눈,20100104
11,  대한항공,KE679,HAN(노이바이(하노이)),19:25,:,:,여객,취소,기상-눈,20100104
0,  대한항공,KE1452,GMP(김포),6:30,11:00,11:30,,지연,기상-시정,20100110
0,  대한항공,KE767,AOJ(아오모리),9:30,11:30,11:42,여객,지연,기상-바람,20100113
0,  대한항공,KE793,NGS(나가사키),8:50,8:50,9:51,여객,지연,기상-눈,20100114
0,  아시아나항공,OZ576,UUS(사할린),9:10,10:30,10:18,여객,지연,기상-눈,20100115
0,  대한항공,KE805,TSN(천진),10:35,13:35,14:24,여객,지연,기상-시정,20100117
1,  아시아나항공,OZ327,TSN(천진),10:50,13:30,14:49,여객,지연,기상-시정,20100117
2,  대한항공,KE317,TSN(천진),11:30,13:00,13:43,화물,지연,기상-시정,20100117
0,  제이드화물,JI7431,TSN(천진),0:15,9:30,9:58,화물,지연,기상-시정,20100118
1,  아시아나항공,OZ309,WEH(위해),9:00,14:00,14:19,여객,지연,기상-시정,20100118
2,  대한항공,KE839,WEH(위해),9:30,14:00,14:22,여객,지연,기상-시정,20100118
3,  아시아나항공,OZ327,TSN(천진),10:50,12:20,12:53,여객,지연,기상-시정,20100118
0,  아시아나항공,OZ327,TSN(천진),10:50,13:00,:,여객,취소,기상-시정,20100119
1,  대한항공,KE867,ULN(부얀트 우카),13:20,17:20,17:43,여객,지연,기상-바람,20100119
2,  중국남방항공,CZ676,DLC(대련),21:00,21:00,21:12,여객,회항,기상-시정,20100119
0,  독일항공,LH718,PUS(김해),7:35,7:35,8:21,여객,회항,기상-시정,20100120
1,  대한항공,KE1401,PUS(김해),8:50,:,:,여객,취소,기상-시정,20100120
2,  아시아나항공,OZ309,WEH(위해),9:00,11:30,:,여객,취소,기상-시정,20100120
3,  아시아나항공,OZ997,TSN(천진),9:30,14:00,13:52,화물,지연,기상-시정,20100120
4,  대한항공,KE839,WEH(위해),9:30,11:30,15:33,여객,지연,기상-시정,20100120
5,  중국국제항공,CA138,PEK(베이징),9:30,16:30,17:43,여객,지연,기상-시정,20100120
6,  대한항공,KE285,YYZ(토론토),9:35,13:50,14:42,화물,지연,기상-시정,20100120
7,  아시아나항공,OZ126,FSZ(시즈오카),9:50,10:50,13:40,여객,지연,기상-시정,20100120
8,  아시아나항공,OZ158,KMI(미야자키),10:00,14:00,14:39,여객,지연,기상-시정,20100120
9,  아시아나항공,OZ112,KIX(간사이),10:00,14:00,14:35,여객,지연,기상-시정,20100120
10,  아시아나항공,OZ192,KIX(간사이),10:05,14:00,14:24,화물,지연,기상-시정,20100120
11,  프랑스항공,AF267,CDG(파리),10:10,12:00,14:48,여객,지연,기상-시정,20100120
12,  아시아나항공,OZ779,MXP(밀라노),10:15,14:30,13:48,화물,지연,기상-시정,20100120
13,  베트남항공,VN939,SGN(떤 선?(호찌민)),10:15,12:00,14:55,여객,지연,기상-시정,20100120
14,  대한항공,KE703,NRT(도쿄/나리타),10:20,13:20,14:22,여객,지연,기상-시정,20100120
15,  대한항공,KE093,IAD(워싱톤),10:25,14:45,14:35,여객,지연,기상-시정,20100120
16,  대한항공,KE831,SHE(심양),10:30,13:00,14:50,여객,지연,기상-시정,20100120
17,  아시아나항공,OZ317,TAO(청도),10:30,12:00,13:50,여객,지연,기상-시정,20100120
18,  아시아나항공,OZ301,DLC(대련),10:30,14:20,14:32,여객,지연,기상-시정,20100120
19,  아시아나항공,OZ152,SDJ(센다이),10:30,12:00,13:45,여객,지연,기상-시정,20100120
20,  가루다인도네시아,GA879,CGK(자카르타(수카르노 하타) 국제 공항),10:35,16:00,16:38,여객,지연,기상-시정,20100120
21,  대한항공,KE805,TSN(천진),10:35,12:00,14:52,여객,지연,기상-시정,20100120
22,  아시아나항공,OZ572,KHV(하바로프스크),10:40,15:10,15:14,여객,지연,기상-시정,20100120
23,  아시아나항공,OZ363,PVG(푸동),10:50,12:00,:,여객,취소,기상-시정,20100120
24,  아시아나항공,OZ327,TSN(천진),10:50,14:50,14:57,여객,지연,기상-시정,20100120
25,  대한항공,KE081,JFK(뉴욕),11:00,13:00,14:06,여객,지연,기상-시정,20100120
26,  말레이시아항공,MH65,KUL(쿠알라룸푸르),11:00,17:00,17:13,여객,지연,기상-시정,20100120
27,  노스웨스트항공,NW608,DTW(디트로이트),11:00,16:00,17:07,여객,지연,기상-시정,20100120
28,  대한항공,KE001,LAX(로스앤젤레스),11:20,13:30,14:55,여객,지연,기상-시정,20100120
29,  대한항공,KE613,HKG(홍콩),11:20,15:00,15:35,여객,지연,기상-시정,20100120
30,  대한항공,KE311,HKG(홍콩),11:25,13:00,15:18,화물,지연,기상-시정,20100120
31,  아시아나항공,OZ104,NRT(도쿄/나리타),11:30,16:00,15:10,여객,지연,기상-시정,20100120
32,  대한항공,KE317,TSN(천진),11:30,13:00,15:07,화물,지연,기상-시정,20100120
33,  대한항공,KE855,PEK(베이징),11:40,13:00,15:14,여객,지연,기상-시정,20100120
34,  대한항공,KE037,ORD(시카고),11:40,13:30,15:02,여객,지연,기상-시정,20100120
35,  대한항공,KE897,PVG(푸동),11:50,13:00,15:15,여객,지연,기상-시정,20100120
36,  아시아나항공,OZ711,TPE(타이완 타오위안 국제 공항),12:05,15:00,15:19,여객,지연,기상-시정,20100120
37,  아시아나항공,OZ339,HRB(하얼빈),12:20,16:00,16:00,여객,지연,기상-시정,20100120
38,  아시아나항공,OZ359,HGH(항저우),12:30,15:00,16:03,여객,지연,기상-시정,20100120
39,  아시아나항공,OZ349,NKG(남경),12:30,15:00,16:34,여객,지연,기상-시정,20100120
40,  대한항공,KE757,NGO(나고야),12:35,14:00,16:05,여객,지연,기상-시정,20100120
41,  칼리타화물항공,K4839,ORD(시카고),12:45,15:00,16:07,화물,지연,기상-시정,20100120
42,  오로라항공,HZ112,UUS(사할린),13:00,14:00,15:49,여객,지연,기상-시정,20100120
43,  대한항공,KE869,DLC(대련),13:00,16:00,:,여객,취소,기상-시정,20100120
44,  중국동방항공,MU5042,PVG(푸동),13:00,15:00,:,여객,취소,기상-시정,20100120
45,  아시아나항공,OZ541,FRA(프랑크푸르트),13:00,15:20,16:16,여객,지연,기상-시정,20100120
46,  대한항공,KE841,TAO(청도),13:10,16:30,16:32,여객,지연,기상-시정,20100120
47,  대한항공,KE907,LHR(런던히드로),13:10,17:00,15:37,여객,지연,기상-시정,20100120
48,  대한항공,KE789,FUK(후쿠오카),13:10,17:00,16:19,여객,지연,기상-시정,20100120
49,  독일항공,LH719,MUC(뮌헨),13:15,17:00,15:05,여객,지연,기상-시정,20100120
50,  아시아나항공,OZ501,CDG(파리),13:20,16:30,16:40,여객,지연,기상-시정,20100120
51,  아시아나항공,OZ335,PEK(베이징),13:20,15:20,16:11,여객,지연,기상-시정,20100120
52,  대한항공,KE927,FCO(로마),13:20,17:00,15:47,여객,지연,기상-시정,20100120
53,  대한항공,KE955,IST(아타튀르크),13:30,16:00,16:46,여객,지연,기상-시정,20100120
54,  대한항공,KE905,FRA(프랑크푸르트),13:30,14:30,16:56,여객,지연,기상-시정,20100120
55,  대한항공,KE553,KIX(간사이),13:35,15:30,15:21,화물,지연,기상-시정,20100120
56,  일본항공,JL954,NRT(도쿄/나리타),13:50,15:10,15:30,여객,지연,기상-시정,20100120
57,  대한항공,KE901,CDG(파리),14:00,14:00,16:30,여객,지연,기상-시정,20100120
58,  아시아나항공,OZ114,KIX(간사이),14:10,18:00,18:47,여객,지연,기상-시정,20100120
59,  페덱스화물항공,FX48,EWR(뉴어크),14:10,15:12,15:12,화물,지연,기상-시정,20100120
60,  아시아나항공,OZ365,PVG(푸동),14:10,15:10,15:52,여객,지연,기상-시정,20100120
61,  아시아나항공,OZ307,YNT(연대),14:20,15:20,16:20,여객,지연,기상-시정,20100120
