,항공사,편명,목적지,계획,예상,출발,구분,현황,날짜
0,진에어,LJ721,HND(하네다),2:35,2:35,2:53,여객,출발,2010-01-01
1,대한항공,KE335,PVG(푸동),3:30,3:30,3:22,화물,출발,2010-01-01
2,제이드화물,JI7431,TSN(천진),4:30,5:07,5:08,화물,출발,2010-01-01
3,아시아나항공,OZ8591,CJU(제주),7:35,8:03,8:03,여객,출발,2010-01-01
4,일본항공,JL950,NRT(도쿄/나리타),8:00,8:14,8:14,여객,출발,2010-01-01
5,에어마카오,NX825,MFM(마카오),8:00,8:00,8:17,여객,출발,2010-01-01
6,대한항공,KE925,MAD(마드리드),8:10,8:28,8:28,여객,출발,2010-01-01
7,아시아나항공,OZ8531,PUS(김해),8:20,8:31,8:31,여객,출발,2010-01-01
8,필리핀에어아시아,Z2039,KLO(칼리보),8:25,8:47,8:49,여객,출발,2010-01-01
9,대한항공,KE621,MNL(마닐라),8:25,8:25,8:33,여객,출발,2010-01-01
10,필리핀항공,PR467,MNL(마닐라),8:30,8:30,8:56,여객,출발,2010-01-01
11,대한항공,KE603,HKG(홍콩),8:30,8:52,8:52,여객,출발,2010-01-01
12,대한항공,KE791,OIT(오이타),8:30,8:30,8:42,여객,출발,2010-01-01
13,대한항공,KE1413,TAE(대구),8:30,8:30,8:39,여객,출발,2010-01-01
14,아시아나항공,OZ701,MNL(마닐라),8:40,9:03,9:02,여객,출발,2010-01-01
15,아시아나항공,OZ331,PEK(베이징),8:40,8:40,8:56,여객,출발,2010-01-01
16,대한항공,KE893,PVG(푸동),8:45,9:01,9:00,여객,출발,2010-01-01
17,아시아나항공,OZ369,CAN(광저우),8:50,9:06,9:05,여객,출발,2010-01-01
18,대한항공,KE1401,PUS(김해),8:50,8:50,9:02,여객,출발,2010-01-01
19,대한항공,KE8765,CTS(삿포로),9:00,9:00,9:19,여객,출발,2010-01-01
20,싱가폴항공,SQ603,SIN(싱가포르),9:00,9:21,9:20,여객,출발,2010-01-01
21,아시아나항공,OZ309,WEH(위해),9:00,9:00,9:09,여객,출발,2010-01-01
22,중국동방항공,MU5052,PVG(푸동),9:05,9:16,9:16,여객,출발,2010-01-01
23,중국동방항공,MU5088,PEK(베이징),9:05,9:05,9:28,여객,출발,2010-01-01
24,대한항공,KE827,SZX(선전(심천)),9:10,9:10,9:32,여객,출발,2010-01-01
25,대한항공,KE851,PEK(베이징),9:15,9:30,9:30,여객,출발,2010-01-01
26,캐세이퍼시픽항공,CX421,HKG(홍콩),9:15,9:48,9:48,여객,출발,2010-01-01
27,아시아나항공,OZ122,NGO(나고야),9:15,10:04,10:03,여객,출발,2010-01-01
28,대한항공,KE775,KMQ(고마쓰),9:15,9:15,9:46,여객,출발,2010-01-01
29,아시아나항공,OZ721,HKG(홍콩),9:20,9:20,9:35,여객,출발,2010-01-01
30,아시아나항공,OZ172,OKA(오키나와),9:20,9:20,9:36,여객,출발,2010-01-01
31,대한항공,KE701,NRT(도쿄/나리타),9:20,9:42,9:42,여객,출발,2010-01-01
32,진에어,LJ001,BKK(수안나폼(방콕)),9:20,9:20,9:39,여객,출발,2010-01-01
33,대한항공,KE767,AOJ(아오모리),9:30,10:15,10:14,여객,출발,2010-01-01
34,아시아나항공,OZ164,YGJ(요나고),9:30,10:19,10:19,여객,출발,2010-01-01
35,제주항공,7C1302,KIX(간사이),9:30,9:39,9:38,여객,출발,2010-01-01
36,중국국제항공,CA138,PEK(베이징),9:30,9:30,9:47,여객,출발,2010-01-01
37,아시아나항공,OZ132,FUK(후쿠오카),9:30,9:50,9:50,여객,출발,2010-01-01
38,대한항공,KE839,WEH(위해),9:30,9:30,9:49,여객,출발,2010-01-01
39,대한항공,KE785,KOJ(가고시마),9:30,9:30,10:10,여객,출발,2010-01-01
40,아시아나항공,OZ361,PVG(푸동),9:40,9:40,9:55,여객,출발,2010-01-01
41,대한항공,KE695,KTM(카트만두),9:40,9:40,10:09,여객,출발,2010-01-01
42,아시아나항공,OZ351,YNJ(연길),9:40,9:40,9:59,여객,출발,2010-01-01
43,아시아나항공,OZ371,SZX(선전(심천)),9:40,9:40,9:57,여객,출발,2010-01-01
44,대한항공,KE845,TAO(청도),9:45,9:45,10:11,여객,출발,2010-01-01
45,대한항공,KE723,KIX(간사이),9:45,9:45,10:01,여객,출발,2010-01-01
46,아시아나항공,OZ126,FSZ(시즈오카),9:50,9:50,10:12,여객,출발,2010-01-01
47,아시아나항공,OZ333,PEK(베이징),9:50,9:50,10:25,여객,출발,2010-01-01
48,아시아나항공,OZ385,PEN(페낭),9:50,9:50,9:44,화물,출발,2010-01-01
49,아시아나항공,OZ166,TAK(다카마쓰),9:50,9:50,10:08,여객,출발,2010-01-01
50,캐세이퍼시픽항공,CX415,HKG(홍콩),9:50,9:50,10:07,여객,출발,2010-01-01
51,아시아나항공,OZ102,NRT(도쿄/나리타),10:00,10:00,10:22,여객,출발,2010-01-01
52,아시아나항공,OZ112,KIX(간사이),10:00,10:21,10:20,여객,출발,2010-01-01
53,아시아나항공,OZ158,KMI(미야자키),10:00,10:25,10:24,여객,출발,2010-01-01
54,대한항공,KE809,CGO(정저우),10:00,10:00,10:13,여객,출발,2010-01-01
55,대한항공,KE765,CTS(삿포로),10:05,10:05,10:27,여객,출발,2010-01-01
56,대한항공,KE035,ATL(애틀랜타),10:05,10:32,10:31,여객,출발,2010-01-01
57,타이항공,TG659,BKK(수안나폼(방콕)),10:05,10:05,10:22,여객,출발,2010-01-01
58,아시아나항공,OZ1023,NRT(도쿄/나리타),10:10,10:10,10:29,여객,출발,2010-01-01
59,대한항공,KE981,VVO(블라디보스톡),10:10,10:10,10:36,여객,출발,2010-01-01
60,대한항공,KE703,NRT(도쿄/나리타),10:20,10:34,10:34,여객,출발,2010-01-01
61,대한항공,KE093,IAD(워싱톤),10:25,10:25,10:44,여객,출발,2010-01-01
62,아시아나항공,OZ152,SDJ(센다이),10:30,10:43,10:42,여객,출발,2010-01-01
