지점,일시,풍향(deg),풍속(KT),순간풍속(KT),시정(m),일기현상(null),1층 운량(1/8),2층 운량(1/8),3층 운량(1/8),4층 운량(1/8),1층 운형(null),2층 운형(null),3층 운형(null),4층 운형(null),1층 운고(FT),2층 운고(FT),3층 운고(FT),4층 운고(FT),기온(°C),이슬점온도(°C),해면기압(hPa),현지기압(hPa),강수량(mm)
113,2010-01-01 0:00,10,5,,10000,,,,,,,,,,,,,,-9.6,-16.7,1024.3,1023.3,
113,2010-01-01 1:00,10,5,,10000,,,,,,,,,,,,,,-10.4,-16.8,1024,1023,
113,2010-01-01 2:00,50,5,,10000,,,,,,,,,,,,,,-10.8,-16.7,1024.1,1023.2,
113,2010-01-01 3:00,110,3,,10000,,,,,,,,,,,,,,-11.4,-17.5,1024.3,1023.4,
113,2010-01-01 4:00,100,3,,10000,,,,,,,,,,,,,,-11.4,-18.6,1024,1023,
113,2010-01-01 5:00,110,5,,10000,,,,,,,,,,,,,,-11.2,-19.1,1023.7,1022.8,
113,2010-01-01 6:00,70,3,,10000,,,,,,,,,,,,,,-11.4,-19.4,1023.5,1022.6,
113,2010-01-01 7:00,40,5,,10000,,,,,,,,,,,,,,-10.7,-20.4,1023.5,1022.6,
113,2010-01-01 8:00,90,4,,10000,,,,,,,,,,,,,,-11.3,-17.2,1023.3,1022.3,
113,2010-01-01 9:00,50,3,,10000,,,,,,,,,,,,,,-9.8,-17.9,1023.5,1022.6,
113,2010-01-01 10:00,120,5,,10000,,3,5,,,6,3,,,3000,15000,,,-7.8,-18.8,1023.8,1022.8,
113,2010-01-01 11:00,120,5,,10000,,1,4,6,,7,6,3,,1500,2500,13000,,-7,-17.4,1023.5,1022.6,
113,2010-01-01 12:00,140,6,,10000,,,,,,,,,,,,,,-6.1,-15.4,1022.3,1021.4,
113,2010-01-01 13:00,140,5,,10000,,,,,,,,,,,,,,-5.4,-15.7,1021.5,1020.6,
113,2010-01-01 14:00,160,4,,10000,,,,,,,,,,,,,,-4.8,-15.3,1021.2,1020.3,
113,2010-01-01 15:00,150,5,,10000,,,,,,,,,,,,,,-4.2,-14.4,1020.9,1020,
113,2010-01-01 16:00,140,6,,10000,,,,,,,,,,,,,,-4,-13.6,1020.6,1019.7,
113,2010-01-01 17:00,120,5,,10000,,,,,,,,,,,,,,-3.7,-11.8,1020.3,1019.4,
113,2010-01-01 18:00,110,5,,10000,,4,,,,6,,,,3000,,,,-3.9,-10.5,1020.2,1019.3,
113,2010-01-01 19:00,110,5,,10000,,6,,,,6,,,,3000,,,,-3,-10.9,1020,1019.1,
113,2010-01-01 20:00,110,6,,10000,,6,,,,6,,,,2300,,,,-2.9,-9.9,1019.5,1018.6,
113,2010-01-01 21:00,110,8,,10000,,6,,,,6,,,,2500,,,,-2.5,-8.8,1019,1018.1,
113,2010-01-01 22:00,120,8,,10000,,1,5,,,7,6,,,1500,2500,,,-2.1,-8.5,1019.2,1018.3,
113,2010-01-01 23:00,120,7,,10000,,5,7,,,6,4,,,2500,10000,,,-1.7,-8.3,1018.9,1018,
