,FlightDate,Origin,CRSDepTime,DepTime,DepDelay,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
21875,2010-01-01,JFK,900,944,44,2475,10,26,0,0,0,0
21876,2010-01-02,JFK,900,904,4,2475,10,,,,,
21877,2010-01-03,JFK,900,912,12,2475,10,,,,,
21878,2010-01-04,JFK,900,854,-6,2475,10,,,,,
21879,2010-01-05,JFK,900,851,-9,2475,10,,,,,
21880,2010-01-06,JFK,900,856,-4,2475,10,,,,,
21881,2010-01-07,JFK,900,853,-7,2475,10,,,,,
21882,2010-01-08,JFK,900,901,1,2475,10,,,,,
21883,2010-01-09,JFK,900,853,-7,2475,10,,,,,
21884,2010-01-10,JFK,900,857,-3,2475,10,,,,,
21885,2010-01-11,JFK,900,854,-6,2475,10,,,,,
21886,2010-01-12,JFK,900,858,-2,2475,10,,,,,
21887,2010-01-13,JFK,900,852,-8,2475,10,,,,,
21888,2010-01-14,JFK,900,855,-5,2475,10,,,,,
21889,2010-01-15,JFK,900,855,-5,2475,10,,,,,
21890,2010-01-16,JFK,900,906,6,2475,10,,,,,
21891,2010-01-17,JFK,900,855,-5,2475,10,,,,,
21892,2010-01-18,JFK,900,850,-10,2475,10,,,,,
21893,2010-01-19,JFK,900,857,-3,2475,10,,,,,
21894,2010-01-20,JFK,900,851,-9,2475,10,,,,,
21895,2010-01-21,JFK,900,851,-9,2475,10,0,0,22,0,0
21896,2010-01-22,JFK,900,853,-7,2475,10,,,,,
21897,2010-01-23,JFK,900,855,-5,2475,10,,,,,
21898,2010-01-24,JFK,900,856,-4,2475,10,,,,,
21899,2010-01-25,JFK,900,853,-7,2475,10,,,,,
21900,2010-01-26,JFK,900,848,-12,2475,10,,,,,
21901,2010-01-27,JFK,900,849,-11,2475,10,,,,,
21902,2010-01-28,JFK,900,856,-4,2475,10,,,,,
21903,2010-01-29,JFK,900,855,-5,2475,10,,,,,
21904,2010-01-30,JFK,900,858,-2,2475,10,,,,,
21905,2010-01-31,JFK,900,851,-9,2475,10,,,,,
21937,2010-01-01,JFK,1200,1200,0,2475,10,,,,,
21938,2010-01-02,JFK,1200,1158,-2,2475,10,,,,,
21939,2010-01-03,JFK,1200,1155,-5,2475,10,,,,,
21940,2010-01-04,JFK,1200,1153,-7,2475,10,,,,,
21941,2010-01-05,JFK,1200,1157,-3,2475,10,,,,,
21942,2010-01-06,JFK,1200,1254,54,2475,10,27,0,0,0,0
21943,2010-01-07,JFK,1200,1157,-3,2475,10,,,,,
21944,2010-01-08,JFK,1200,1153,-7,2475,10,,,,,
21945,2010-01-09,JFK,1200,1155,-5,2475,10,,,,,
21946,2010-01-10,JFK,1200,1217,17,2475,10,,,,,
21947,2010-01-11,JFK,1200,1159,-1,2475,10,,,,,
21948,2010-01-12,JFK,1200,1159,-1,2475,10,,,,,
21949,2010-01-13,JFK,1200,1157,-3,2475,10,,,,,
21950,2010-01-14,JFK,1200,1156,-4,2475,10,,,,,
21951,2010-01-15,JFK,1200,1151,-9,2475,10,,,,,
21952,2010-01-16,JFK,1200,1149,-11,2475,10,,,,,
21953,2010-01-17,JFK,1200,1156,-4,2475,10,,,,,
21954,2010-01-18,JFK,1200,1153,-7,2475,10,,,,,
21955,2010-01-19,JFK,1200,1154,-6,2475,10,0,0,33,0,0
21956,2010-01-20,JFK,1200,1157,-3,2475,10,,,,,
21957,2010-01-21,JFK,1200,1203,3,2475,10,,,,,
21958,2010-01-22,JFK,1200,1155,-5,2475,10,,,,,
21959,2010-01-23,JFK,1200,1151,-9,2475,10,,,,,
21960,2010-01-24,JFK,1200,1150,-10,2475,10,,,,,
21961,2010-01-25,JFK,1200,1214,14,2475,10,,,,,
21962,2010-01-26,JFK,1200,1155,-5,2475,10,,,,,
21963,2010-01-27,JFK,1200,1158,-2,2475,10,,,,,
21964,2010-01-28,JFK,1200,1233,33,2475,10,25,0,0,0,0
21965,2010-01-29,JFK,1200,1152,-8,2475,10,,,,,
21966,2010-01-30,JFK,1200,1151,-9,2475,10,,,,,
21967,2010-01-31,JFK,1200,1156,-4,2475,10,,,,,
22185,2010-01-01,JFK,1045,1047,2,2586,11,,,,,
22186,2010-01-02,JFK,1045,1039,-6,2586,11,,,,,
22187,2010-01-03,JFK,1045,1040,-5,2586,11,,,,,
22188,2010-01-04,JFK,1045,1034,-11,2586,11,,,,,
22189,2010-01-05,JFK,1045,1045,0,2586,11,,,,,
22190,2010-01-06,JFK,1045,1045,0,2586,11,,,,,
22191,2010-01-07,JFK,1045,1037,-8,2586,11,,,,,
22192,2010-01-08,JFK,1045,1043,-2,2586,11,,,,,
22193,2010-01-09,JFK,1045,1039,-6,2586,11,,,,,
22194,2010-01-10,JFK,1045,1048,3,2586,11,,,,,
22195,2010-01-11,JFK,1045,1040,-5,2586,11,,,,,
22196,2010-01-12,JFK,1045,1136,51,2586,11,,,,,
22197,2010-01-13,JFK,1045,1043,-2,2586,11,,,,,
22198,2010-01-14,JFK,1045,1036,-9,2586,11,,,,,
22199,2010-01-15,JFK,1045,1045,0,2586,11,,,,,
22200,2010-01-16,JFK,1045,1038,-7,2586,11,,,,,
22201,2010-01-17,JFK,1045,1044,-1,2586,11,,,,,
22202,2010-01-18,JFK,1045,1230,105,2586,11,0,0,87,0,0
22203,2010-01-19,JFK,1045,1204,79,2586,11,0,0,112,0,0
22204,2010-01-20,JFK,1045,1102,17,2586,11,0,0,60,0,0
22205,2010-01-21,JFK,1045,1102,17,2586,11,0,0,48,0,0
22206,2010-01-22,JFK,1045,1046,1,2586,11,,,,,
22207,2010-01-23,JFK,1045,1038,-7,2586,11,,,,,
22208,2010-01-24,JFK,1045,1045,0,2586,11,,,,,
22209,2010-01-25,JFK,1045,1208,83,2586,11,0,0,51,0,0
22210,2010-01-26,JFK,1045,1044,-1,2586,11,,,,,
22211,2010-01-27,JFK,1045,1037,-8,2586,11,,,,,
22212,2010-01-28,JFK,1045,1050,5,2586,11,,,,,
22213,2010-01-29,JFK,1045,1040,-5,2586,11,,,,,
22214,2010-01-30,JFK,1045,1038,-7,2586,11,,,,,
22215,2010-01-31,JFK,1045,1036,-9,2586,11,,,,,
22278,2010-01-01,JFK,1030,1021,-9,2475,10,,,,,
22279,2010-01-03,JFK,1030,1045,15,2475,10,,,,,
22280,2010-01-04,JFK,1030,1022,-8,2475,10,,,,,
22281,2010-01-05,JFK,1030,1023,-7,2475,10,,,,,
22282,2010-01-06,JFK,1030,1026,-4,2475,10,,,,,
22283,2010-01-07,JFK,1030,1023,-7,2475,10,,,,,
22284,2010-01-08,JFK,1030,1054,24,2475,10,,,,,
