,time,temperature,dew_point,humidity,wind,wind_speed,wind_gust,pressure,precip,condition
0,2010-01-01 0:51,34,31,89,CALM,0,0,29.98,0,['Cloudy']
0,2010-01-01 1:51,33,31,92,ENE,3,0,29.96,0,['Cloudy']
0,2010-01-01 2:04,34,0,93,CALM,0,0,29.96,0,['Cloudy']
0,2010-01-01 2:37,34,0,93,CALM,0,0,29.96,0,['Cloudy']
0,2010-01-01 2:47,34,0,93,CALM,0,0,29.96,0,['Cloudy']
0,2010-01-01 2:51,34,0,92,CALM,0,0,29.96,0,['Cloudy']
0,2010-01-01 3:51,34,0,92,E,3,0,29.95,0,['Cloudy']
0,2010-01-01 4:51,33,0,96,CALM,0,0,29.93,0,['Cloudy']
0,2010-01-01 5:51,33,0,96,E,3,0,29.93,0,['Cloudy']
0,2010-01-01 6:51,34,0,92,CALM,0,0,29.93,0,['Cloudy']
0,2010-01-01 7:51,34,0,92,CALM,0,0,29.92,0,['Cloudy']
0,2010-01-01 8:26,34,0,93,CALM,0,0,29.92,0,['Cloudy']
0,2010-01-01 8:51,34,33,96,CALM,0,0,29.92,0,['Cloudy']
0,2010-01-01 9:23,36,34,93,CALM,0,0,29.91,0,['Cloudy']
0,2010-01-01 9:51,35,33,92,CALM,0,0,29.91,0,['Cloudy']
0,2010-01-01 10:20,36,0,87,NNW,6,0,29.9,0,['Cloudy']
0,2010-01-01 10:51,35,0,89,WNW,5,0,29.9,0,['Cloudy']
0,2010-01-01 11:51,36,0,86,NW,5,0,29.87,0,['Cloudy']
0,2010-01-01 12:51,36,0,86,NNW,5,0,29.85,0,['Cloudy']
0,2010-01-01 13:51,37,0,82,NW,6,0,29.82,0,['Cloudy']
0,2010-01-01 14:51,38,31,76,NNW,6,0,29.81,0,['Cloudy']
0,2010-01-01 15:51,38,0,79,N,3,0,29.81,0,"['Mostly', 'Cloudy']"
0,2010-01-01 16:51,39,0,76,NW,6,0,29.8,0,['Cloudy']
0,2010-01-01 17:51,38,0,79,NW,6,0,29.8,0,"['Mostly', 'Cloudy']"
0,2010-01-01 18:51,38,31,76,NW,7,0,29.79,0,['Cloudy']
0,2010-01-01 19:51,38,31,76,NW,9,0,29.78,0,['Cloudy']
0,2010-01-01 20:51,38,30,73,NW,13,0,29.76,0,['Cloudy']
0,2010-01-01 21:51,37,30,76,NW,13,0,29.74,0,['Cloudy']
0,2010-01-01 22:51,37,30,75,WNW,13,0,29.72,0,['Cloudy']
0,2010-01-01 23:51,35,31,85,WNW,10,0,29.7,0,['Cloudy']
0,2010-01-01 0:17,34,30,87,NW,13,0,29.7,0,['Cloudy']
0,2010-01-02 0:51,33,28,82,NW,21,24,29.69,0,"['Cloudy', '/', 'Windy']"
0,2010-01-02 1:09,32,27,80,NW,18,24,29.69,0,['Cloudy']
0,2010-01-02 1:51,32,23,69,NW,20,25,29.68,0,['Cloudy']
0,2010-01-02 2:51,31,23,72,NW,17,29,29.67,0,['Cloudy']
0,2010-01-02 3:51,30,23,75,WNW,21,25,29.67,0,"['Cloudy', '/', 'Windy']"
0,2010-01-02 4:51,29,22,75,NW,17,23,29.67,0,['Cloudy']
0,2010-01-02 5:51,28,24,85,NW,17,28,29.66,0,['Cloudy']
0,2010-01-02 6:46,27,23,86,NW,20,0,29.66,0,['Cloudy']
0,2010-01-02 6:51,28,23,81,NW,22,28,29.65,0,"['Cloudy', '/', 'Windy']"
0,2010-01-02 7:15,28,21,74,NW,18,25,29.65,0,['Cloudy']
0,2010-01-02 7:51,27,21,78,WNW,20,26,29.64,0,['Cloudy']
0,2010-01-02 8:51,28,19,69,NW,16,25,29.64,0,['Cloudy']
0,2010-01-02 9:51,27,18,69,NNW,18,31,29.64,0,['Cloudy']
0,2010-01-02 10:51,27,17,66,NW,21,30,29.65,0,"['Cloudy', '/', 'Windy']"
0,2010-01-02 11:51,26,16,66,NW,21,29,29.64,0,"['Cloudy', '/', 'Windy']"
0,2010-01-02 12:51,26,15,63,NW,18,32,29.62,0,['Cloudy']
0,2010-01-02 13:51,26,14,60,WNW,26,33,29.6,0,"['Mostly', 'Cloudy', '/', 'Windy']"
0,2010-01-02 14:51,25,12,58,NW,24,35,29.6,0,"['Cloudy', '/', 'Windy']"
0,2010-01-02 15:51,25,12,58,WNW,26,36,29.62,0,"['Cloudy', '/', 'Windy']"
0,2010-01-02 16:51,25,11,55,WNW,25,37,29.63,0,"['Cloudy', '/', 'Windy']"
0,2010-01-02 17:51,23,10,58,NW,30,40,29.64,0,"['Mostly', 'Cloudy', '/', 'Windy']"
0,2010-01-02 18:51,22,10,60,NW,29,39,29.67,0,"['Mostly', 'Cloudy', '/', 'Windy']"
0,2010-01-02 19:51,20,8,60,NW,26,37,29.68,0,"['Partly', 'Cloudy', '/', 'Windy']"
0,2010-01-02 20:51,19,7,59,WNW,23,32,29.68,0,"['Partly', 'Cloudy', '/', 'Windy']"
0,2010-01-02 21:51,18,6,60,WNW,23,40,29.66,0,"['Partly', 'Cloudy', '/', 'Windy']"
0,2010-01-02 22:51,18,7,62,WNW,32,40,29.65,0,"['Partly', 'Cloudy', '/', 'Windy']"
0,2010-01-02 23:51,18,6,60,WNW,30,40,29.62,0,"['Partly', 'Cloudy', '/', 'Windy']"
0,2010-01-03 0:51,18,7,62,WNW,28,38,29.61,0,"['Partly', 'Cloudy', '/', 'Windy']"
