,time,temperature,dew_point,humidity,wind,wind_speed,wind_gust,pressure,precip,condition
0,2010-01-01 0:51,11,2,67,WNW,8,0,29.58,0,['Fair']
0,2010-01-01 1:51,10,1,67,WNW,9,0,29.6,0,['Fair']
0,2010-01-01 2:51,9,1,70,WNW,7,0,29.6,0,['Fair']
0,2010-01-01 3:51,9,1,70,WNW,9,0,29.62,0,['Fair']
0,2010-01-01 4:51,8,1,73,WNW,8,0,29.63,0,['Fair']
0,2010-01-01 5:51,7,0,73,W,9,0,29.64,0,['Fair']
0,2010-01-01 6:51,6,0,76,W,10,0,29.66,0,['Fair']
0,2010-01-01 7:51,6,0,76,WNW,8,0,29.66,0,['Fair']
0,2010-01-01 8:51,6,-1,73,WNW,10,0,29.68,0,"['Partly', 'Cloudy']"
0,2010-01-01 9:51,7,0,73,W,7,0,29.69,0,"['Partly', 'Cloudy']"
0,2010-01-01 10:51,11,2,67,W,9,0,29.7,0,"['Partly', 'Cloudy']"
0,2010-01-01 11:51,13,3,65,W,9,0,29.69,0,"['Mostly', 'Cloudy']"
0,2010-01-01 12:51,15,4,61,WNW,10,0,29.67,0,"['Mostly', 'Cloudy']"
0,2010-01-01 13:51,17,5,59,WNW,14,0,29.66,0,"['Mostly', 'Cloudy']"
0,2010-01-01 14:51,18,5,57,WNW,10,0,29.66,0,['Cloudy']
0,2010-01-01 15:51,17,5,59,WNW,12,0,29.66,0,['Cloudy']
0,2010-01-01 16:51,14,7,74,WNW,14,0,29.68,0,['Cloudy']
0,2010-01-01 17:51,14,6,71,WNW,13,0,29.69,0,['Cloudy']
0,2010-01-01 18:51,13,6,74,WNW,12,0,29.71,0,"['Partly', 'Cloudy']"
0,2010-01-01 19:51,13,6,74,WNW,9,0,29.71,0,['Fair']
0,2010-01-01 20:51,13,5,71,NW,13,0,29.71,0,['Fair']
0,2010-01-01 22:51,12,4,70,NW,10,0,29.73,0,['Fair']
0,2010-01-01 23:51,11,4,73,NW,13,0,29.73,0,['Fair']
0,2010-01-02 0:51,11,3,70,NW,14,0,29.73,0,['Fair']
0,2010-01-02 1:51,10,2,70,NW,14,0,29.73,0,['Fair']
0,2010-01-02 2:51,9,2,73,NW,14,0,29.75,0,['Fair']
0,2010-01-02 3:51,8,1,73,NW,12,0,29.77,0,['Fair']
0,2010-01-02 4:51,7,0,73,WNW,12,0,29.78,0,['Fair']
0,2010-01-02 5:51,6,-1,73,NW,10,0,29.78,0,['Fair']
0,2010-01-02 6:51,5,-2,73,NNW,12,0,29.79,0,['Fair']
0,2010-01-02 7:51,4,-3,73,NW,9,0,29.82,0,['Fair']
0,2010-01-02 8:51,3,-4,73,NW,10,0,29.82,0,['Fair']
0,2010-01-02 9:51,5,-5,63,NNW,13,0,29.82,0,['Fair']
0,2010-01-02 10:51,6,-5,60,NNW,16,0,29.83,0,['Fair']
0,2010-01-02 11:51,8,-4,58,NNW,9,0,29.82,0,['Fair']
0,2010-01-02 12:51,10,-3,56,NW,7,0,29.79,0,['Fair']
0,2010-01-02 13:51,11,-3,54,NW,8,0,29.78,0,['Fair']
0,2010-01-02 14:51,12,-4,49,W,12,0,29.77,0,['Fair']
0,2010-01-02 15:51,12,-4,49,WNW,13,0,29.77,0,['Fair']
0,2010-01-02 16:51,9,-4,56,WNW,15,0,29.8,0,['Fair']
0,2010-01-02 17:51,6,-5,60,WNW,12,0,29.81,0,['Fair']
0,2010-01-02 18:51,5,-6,61,NW,9,0,29.82,0,['Fair']
0,2010-01-02 19:51,6,-6,58,NNW,16,25,29.83,0,['Fair']
0,2010-01-02 20:51,5,-6,61,NNW,14,0,29.84,0,['Fair']
0,2010-01-02 21:51,5,-6,61,NW,13,0,29.83,0,"['Mostly', 'Cloudy']"
0,2010-01-02 22:16,3,-6,66,NW,12,0,29.75,0,"['Partly', 'Cloudy']"
0,2010-01-02 22:51,4,-6,64,NW,10,0,29.82,0,"['Partly', 'Cloudy']"
0,2010-01-02 23:03,3,-6,66,NW,12,0,29.74,0,"['Partly', 'Cloudy']"
0,2010-01-02 23:20,5,-6,61,NW,13,0,29.74,0,"['Mostly', 'Cloudy']"
0,2010-01-02 23:45,5,-6,61,NW,14,0,29.74,0,"['Mostly', 'Cloudy']"
0,2010-01-02 23:51,5,-5,63,NW,14,0,29.81,0,"['Mostly', 'Cloudy']"
0,2010-01-03 0:51,6,-4,63,NW,13,0,29.79,0,"['Mostly', 'Cloudy']"
0,2010-01-03 1:51,7,-3,64,NNW,16,0,29.79,0,['Cloudy']
0,2010-01-03 2:51,7,-2,67,NNW,13,0,29.79,0,"['Mostly', 'Cloudy']"
0,2010-01-03 3:51,7,-1,70,NW,13,0,29.8,0,['Cloudy']
0,2010-01-03 4:51,6,-4,63,NW,15,0,29.8,0,"['Mostly', 'Cloudy']"
0,2010-01-03 5:51,4,-6,64,NNW,12,0,29.81,0,"['Partly', 'Cloudy']"
0,2010-01-03 6:51,3,-6,66,NW,12,0,29.82,0,['Fair']
0,2010-01-03 7:51,2,-6,69,NW,8,0,29.83,0,['Fair']
0,2010-01-03 8:51,1,-6,72,WNW,9,0,29.82,0,['Fair']
0,2010-01-03 9:51,3,-5,69,WNW,8,0,29.82,0,['Fair']
0,2010-01-03 10:51,7,-2,67,NW,10,0,29.84,0,"['Partly', 'Cloudy']"
0,2010-01-03 11:51,11,2,67,WNW,8,0,29.82,0,['Fair']
0,2010-01-03 12:51,14,4,64,NW,9,0,29.79,0,"['Mostly', 'Cloudy']"
0,2010-01-03 13:51,17,5,59,NW,12,0,29.76,0,"['Mostly', 'Cloudy']"
0,2010-01-03 14:51,18,7,62,NW,10,0,29.75,0,"['Mostly', 'Cloudy']"
0,2010-01-03 15:51,18,7,62,NW,12,0,29.76,0,"['Partly', 'Cloudy']"
0,2010-01-03 16:51,18,7,62,NW,12,0,29.76,0,['Fair']
0,2010-01-03 17:51,17,6,62,NW,10,0,29.77,0,['Fair']
0,2010-01-03 18:51,16,6,65,NW,9,0,29.78,0,['Fair']
0,2010-01-03 19:51,14,5,67,NNW,12,0,29.78,0,['Fair']
0,2010-01-03 20:51,13,4,67,NNW,16,22,29.78,0,['Fair']
0,2010-01-03 21:51,11,4,73,NW,10,0,29.77,0,['Fair']
0,2010-01-03 22:20,10,3,73,NW,10,0,29.71,0,"['Mostly', 'Cloudy']"
0,2010-01-03 22:51,12,5,73,NW,9,0,29.77,0,"['Mostly', 'Cloudy']"
0,2010-01-03 23:51,12,4,70,NW,13,0,29.75,0,['Cloudy']
0,2010-01-04 0:51,12,3,67,NW,14,0,29.73,0,['Cloudy']
0,2010-01-04 2:51,9,1,70,WNW,12,0,29.71,0,['Cloudy']
0,2010-01-04 3:51,9,2,73,NW,10,0,29.71,0,['Cloudy']
0,2010-01-04 4:51,9,2,73,WNW,10,0,29.69,0,"['Mostly', 'Cloudy']"
0,2010-01-04 5:04,9,1,73,NW,9,0,29.63,0,"['Mostly', 'Cloudy']"
